track,scenario_id,competitor,coverage_h_over_b,multiplicative_epsilon_h_over_b
representative,rep_Google2011v2_trace_dynamic_n090_827,jellyfish_rts_adapted,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,nsga_ii,1.0,1.0
representative,rep_Google2011v2_trace_dynamic_n090_827,ppo_joint,1.0,0.9963735978811992
representative,rep_Google2011v2_flexible_dynamic_n090_827,ecc_cee_adapted,1.0,0.9999920954523395
representative,rep_Google2011v2_flexible_dynamic_n090_827,eco_pso_joint,1.0,0.9996886094352774
representative,rep_Google2011v2_flexible_dynamic_n090_827,tm_moaoa_joint,1.0,0.9999764388780638
representative,rep_Google2011v2_flexible_dynamic_n090_827,meo_adapted,1.0,0.9999850364361211
representative,rep_Google2011v2_flexible_dynamic_n090_827,jellyfish_rts_adapted,1.0,0.9999764388780638
representative,rep_Google2011v2_flexible_dynamic_n090_827,nsga_ii,1.0,0.9996985140555819
representative,rep_Google2011v2_flexible_dynamic_n090_827,ppo_joint,1.0,0.9963735693198567
representative,rep_Alibaba2017_trace_dynamic_n090_827,ecc_cee_adapted,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,eco_pso_joint,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,tm_moaoa_joint,1.0,0.99999749971238
representative,rep_Alibaba2017_trace_dynamic_n090_827,meo_adapted,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,jellyfish_rts_adapted,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,nsga_ii,1.0,1.0
representative,rep_Alibaba2017_trace_dynamic_n090_827,ppo_joint,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n090_827,ecc_cee_adapted,1.0,0.99999749971238
representative,rep_Alibaba2017_flexible_dynamic_n090_827,eco_pso_joint,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n090_827,tm_moaoa_joint,1.0,0.99999749971238
representative,rep_Alibaba2017_flexible_dynamic_n090_827,meo_adapted,1.0,0.99999749971238
representative,rep_Alibaba2017_flexible_dynamic_n090_827,jellyfish_rts_adapted,1.0,1.0
representative,rep_Alibaba2017_flexible_dynamic_n090_827,nsga_ii,1.0,0.99999749971238
representative,rep_Alibaba2017_flexible_dynamic_n090_827,ppo_joint,1.0,1.0
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,ecc_cee_adapted,0.4117647058823529,1.0000818361556956
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,eco_pso_joint,1.0,0.9588916967587634
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,tm_moaoa_joint,1.0,0.9588916967587634
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,meo_adapted,0.3333333333333333,1.0
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,jellyfish_rts_adapted,0.3333333333333333,1.0
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,nsga_ii,0.35,1.0815698478613638
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6000,ppo_joint,1.0,0.9588916967587634
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,ecc_cee_adapted,0.0,1.0000140771757318
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,eco_pso_joint,1.0,0.9603231587167045
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,tm_moaoa_joint,1.0,0.9603231587167045
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,meo_adapted,0.0,1.000582103389597
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,jellyfish_rts_adapted,0.0,1.0
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,nsga_ii,0.47619047619047616,1.0134777333080873
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6101,ppo_joint,1.0,0.9603231587167045
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,ecc_cee_adapted,0.25,1.0100804915653232
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,eco_pso_joint,1.0,0.9588851154928553
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,tm_moaoa_joint,1.0,0.9588851154928553
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,meo_adapted,0.16666666666666666,1.0093779021070646
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,jellyfish_rts_adapted,0.1,1.0
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,nsga_ii,0.17857142857142858,1.0954265932910867
sla_stress,sla_Google2011v2_trace_dynamic_n150_workload_6102,ppo_joint,1.0,0.9588851154928553
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,ecc_cee_adapted,0.0,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,eco_pso_joint,1.0,0.958751350604556
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,tm_moaoa_joint,1.0,0.958751350604556
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,meo_adapted,0.0,1.000122163008903
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,jellyfish_rts_adapted,0.0,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,nsga_ii,0.2692307692307692,1.051705026540118
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,ppo_joint,1.0,0.958751350604556
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,ecc_cee_adapted,0.7272727272727273,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,eco_pso_joint,1.0,0.9543049075578824
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,tm_moaoa_joint,1.0,0.9543049075578824
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,meo_adapted,0.8571428571428571,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,jellyfish_rts_adapted,0.6666666666666666,1.0
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,nsga_ii,0.631578947368421,1.0261621993831116
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,ppo_joint,1.0,0.9543049075578824
