track,scenario_id,method,hypervolume_3d_exact_normalized
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,ecc_cee_adapted,70.42079944319093
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,eco_pso_joint,9.378581004328307
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,tm_moaoa_joint,15.668115055602035
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,meo_adapted,70.42156473677682
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,jellyfish_rts_adapted,70.42079944319093
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,nsga_ii,70.75493779844828
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6000,ppo_joint,13.375368012827366
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,hcsmo_v6d,31.784117885445617
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,ecc_cee_adapted,25.63864439488306
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,eco_pso_joint,1.0205196796165106
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,tm_moaoa_joint,4.473975821656589
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,meo_adapted,25.635926440475306
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,jellyfish_rts_adapted,25.633707180418867
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,nsga_ii,26.528478213404462
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6101,ppo_joint,3.583871694713343
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,hcsmo_v6d,60.88140422016455
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,ecc_cee_adapted,51.813879593231015
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,eco_pso_joint,1.3839079364027251
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,tm_moaoa_joint,5.236453874667649
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,meo_adapted,51.81342035504903
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,jellyfish_rts_adapted,51.81342035504903
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,nsga_ii,52.29413397076762
sla_stress,sla_Google2011v2_flexible_dynamic_n150_workload_6102,ppo_joint,4.430060193153725
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,hcsmo_v6d,105.46573761329793
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,ecc_cee_adapted,100.2280494599704
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,eco_pso_joint,49.23909954933853
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,tm_moaoa_joint,85.38870800782959
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,meo_adapted,99.68751511904013
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,jellyfish_rts_adapted,99.46619810881232
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,nsga_ii,99.44526461871523
sla_stress,sla_Alibaba2017_trace_dynamic_n150_workload_6000,ppo_joint,75.84832573034302
