track,scenario_id,base_scenario_id,method,migration_volume_gib,migration_energy_wh,migration_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,makespan_s,migration_energy_fraction_pct,migration_emissions_fraction_pct
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,jellyfish_rts_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,243.06340740785723,41.59541804840575,25522.13529691007,0.3707150180116647,0.30130537129879653
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,meo_adapted,15.017875909196727,0.9010725545518038,0.12532922879403557,243.06340740785723,41.59541804840575,25522.13529691007,0.3707150180116647,0.30130537129879653
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,nsga_ii,13.654150596640106,0.8192490357984065,0.11669684756555215,242.93628022794877,41.61348158546606,25522.13529691007,0.3372279492506016,0.28043038726735553
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,ppo_joint,13.13861206740344,0.7883167240442066,0.13263680853156556,297.66215847740733,50.7221583190529,25607.834530581255,0.2648360571181036,0.26149677562467377
representative,rep_Alibaba2017_trace_dynamic_n030_811,rep_Alibaba2017_trace_dynamic_n030_811,tm_moaoa_joint,16.756327492040388,1.0053796495224234,0.1601544793311409,303.96928630569465,51.03185614777061,25524.080270745675,0.3307504063128724,0.3138323616279778
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,ecc_cee_adapted,25.50126575725402,1.530075945435241,0.08960124577433749,269.5838473460306,21.972930550025,25752.01691657887,0.5675695930963092,0.4077801346085606
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,eco_pso_joint,31.443543084927203,1.8866125850956321,0.17195297947350613,564.9904275284489,43.70428313208787,25775.980552942492,0.3339193892803849,0.39344651633756583
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,hcsmo_v6d,30.334273807366582,1.820056428441995,0.09613856920249472,242.48639349692084,20.49591950043737,25752.01691657887,0.7505808479373942,0.4690619964644337
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,jellyfish_rts_adapted,24.270732275515623,1.4562439365309372,0.0829088930189212,271.407504819984,22.187322139836134,25752.01691657887,0.5365525678801025,0.37367687950977546
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,meo_adapted,24.270732275515623,1.4562439365309372,0.0829088930189212,271.407504819984,22.187322139836134,25752.01691657887,0.5365525678801025,0.37367687950977546
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,nsga_ii,24.270732275515623,1.4562439365309372,0.0829088930189212,271.407504819984,22.187322139836134,25752.01691657887,0.5365525678801025,0.37367687950977546
representative,rep_Alibaba2017_trace_dynamic_n060_823,rep_Alibaba2017_trace_dynamic_n060_823,ppo_joint,27.123754303315668,1.62742525819894,0.10018009639427379,388.8462598002128,23.82981096042427,25764.005552942486,0.418526658591265,0.4203982002234489
