track,competitor,metric,n_scenarios,wilcoxon_statistic,raw_p_value,rank_biserial_effect,median_difference_competitor_minus_hcsmo,median_relative_improvement_pct,bootstrap_ci_low,bootstrap_ci_high,holm_adjusted_p
sla_stress,eco_pso_joint,gross_horizon_energy_wh,12,0.0,0.00048828125,1.0,55.94234468112717,20.414714483501083,9.39450175358388,228.6217639978022,0.00341796875
sla_stress,eco_pso_joint,makespan_s,12,0.0,0.00048828125,1.0,44.97380109218648,4.362207560271653,1.0314078999799676,96.25585669241264,0.00341796875
sla_stress,tm_moaoa_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,52.83125448239975,56.19599915391647,3.4432523405119024,115.5601107600478,0.00341796875
sla_stress,tm_moaoa_joint,scheduler_controllable_energy_wh,12,3.0,0.00244140625,0.9230769230769231,54.79841280931166,19.724082801930294,7.4855771421407304,228.62176399780208,0.01220703125
sla_stress,tm_moaoa_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,52.83125448239976,51.61884250175716,3.4432523405119024,115.56011076004775,0.00341796875
sla_stress,tm_moaoa_joint,gross_horizon_energy_wh,12,3.0,0.00244140625,0.9230769230769231,54.79841280931154,18.393797372653083,7.485577142140727,228.6217639978022,0.01220703125
sla_stress,tm_moaoa_joint,makespan_s,12,0.0,0.00048828125,1.0,44.97380109218648,4.13988540793798,1.0314078999799676,96.25585669241264,0.00341796875
sla_stress,meo_adapted,scheduler_controllable_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,13.059817292881036,-1.5698808684040912,1.799813514797485,1.0
sla_stress,meo_adapted,scheduler_controllable_energy_wh,12,32.0,0.703125,0.12727272727272726,0.19920613373780682,0.7428019994644102,-13.400213628889835,4.100442228215213,1.0
sla_stress,meo_adapted,gross_horizon_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,12.336911052811207,-1.5698808684040912,1.7998135147974854,1.0
sla_stress,meo_adapted,gross_horizon_energy_wh,12,32.0,0.703125,0.12727272727272726,0.19920613373780682,0.7209700846246619,-13.400213628889723,4.100442228215215,1.0
sla_stress,meo_adapted,makespan_s,12,9.0,0.125,0.7142857142857143,0.0,0.0,0.0,7.03461300814547,0.5
sla_stress,jellyfish_rts_adapted,scheduler_controllable_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,13.059817292881036,-1.5698808684040912,1.799813514797485,1.0
sla_stress,jellyfish_rts_adapted,scheduler_controllable_energy_wh,12,32.0,0.703125,0.12727272727272726,0.19920613373780682,0.7428019994644102,-13.399483311678003,4.100442228215213,1.0
sla_stress,jellyfish_rts_adapted,gross_horizon_emissions_g,12,29.0,0.541015625,0.16363636363636364,0.7878212815499779,12.336911052811207,-1.5698808684040912,1.7998135147974854,1.0
sla_stress,jellyfish_rts_adapted,gross_horizon_energy_wh,12,32.0,0.703125,0.12727272727272726,0.19920613373780682,0.7209700846246619,-13.399483311678004,4.100442228215215,1.0
sla_stress,jellyfish_rts_adapted,makespan_s,12,9.0,0.125,0.7142857142857143,0.0,0.0,0.0,7.03461300814547,0.5
sla_stress,nsga_ii,scheduler_controllable_emissions_g,12,32.0,0.6220703125,0.1794871794871795,0.7876418476106672,12.951344086538825,-1.5700778607573411,1.7994130954880663,1.0
sla_stress,nsga_ii,scheduler_controllable_energy_wh,12,36.0,0.85009765625,0.07692307692307693,0.19730804997242934,0.7352657115302803,-13.400009816563136,4.099142385819306,1.0
sla_stress,nsga_ii,gross_horizon_emissions_g,12,32.0,0.6220703125,0.1794871794871795,0.7876418476106672,11.23813642401266,-1.570077860757334,1.7994130954880667,1.0
sla_stress,nsga_ii,gross_horizon_energy_wh,12,36.0,0.85009765625,0.07692307692307693,0.1973080499724258,0.7136693421755507,-13.40000981656314,4.099142385819308,1.0
sla_stress,nsga_ii,makespan_s,12,9.0,0.125,0.7142857142857143,0.0,0.0,0.0,7.03461300814547,0.5
sla_stress,ppo_joint,scheduler_controllable_emissions_g,12,0.0,0.00048828125,1.0,53.32980694477716,58.31508260650567,3.8111053157431947,115.5601107600478,0.00341796875
sla_stress,ppo_joint,scheduler_controllable_energy_wh,12,0.0,0.00048828125,1.0,55.94234468112728,21.496914691537565,9.394501753583883,228.62176399780208,0.00341796875
sla_stress,ppo_joint,gross_horizon_emissions_g,12,0.0,0.00048828125,1.0,53.32980694477717,56.94623046798087,3.8111053157431947,115.56011076004775,0.00341796875
sla_stress,ppo_joint,gross_horizon_energy_wh,12,0.0,0.00048828125,1.0,55.94234468112717,20.414714483501083,9.39450175358388,228.6217639978022,0.00341796875
sla_stress,ppo_joint,makespan_s,12,0.0,0.00048828125,1.0,44.97380109218648,4.362207560271653,1.0314078999799676,96.25585669241264,0.00341796875
