track,method,metric,n_scenarios,mean,median,std,best,worst
representative,eco_pso_joint,migration_emissions_g,12,0.20389596065525348,0.1722594399606544,0.16852375165779107,0.0,0.5453920799316615
representative,eco_pso_joint,active_node_count,12,19.333333333333332,21.0,5.8826916123540425,6.0,25.0
representative,eco_pso_joint,wall_time_s,12,6.280122915833265,5.586778807499854,2.504544490738807,3.390644894999923,10.386823149000065
representative,eco_pso_joint,actual_objective_calls,12,216.0,216.0,51.168171925346506,156.0,276.0
representative,hcsmo_v6d,scheduler_controllable_emissions_g,12,3.9957357489842753,0.6796048323565422,7.242098729310835,0.09613856920249475,19.369107356294883
representative,hcsmo_v6d,scheduler_controllable_energy_wh,12,345.7874542003026,227.4993678176761,355.6199462630398,30.615346262853137,887.7497875522293
representative,hcsmo_v6d,gross_horizon_emissions_g,12,44.945902236562034,43.6672920018146,14.44328210187357,20.49591950043737,74.18232558515659
representative,hcsmo_v6d,gross_horizon_energy_wh,12,584.7725562227525,471.7926301297599,364.7988972532026,242.48639349692084,1152.0263760415107
representative,hcsmo_v6d,makespan_s,12,25925.813120118506,25880.38661558795,280.51368867915846,25522.019092861796,26289.473712015664
representative,hcsmo_v6d,deadline_miss_ratio,12,0.0,0.0,0.0,0.0,0.0
representative,hcsmo_v6d,total_tardiness_s,12,0.0,0.0,0.0,0.0,0.0
representative,hcsmo_v6d,migration_volume_gib,12,22.19304973653415,18.813791994124443,14.205901130225465,4.343511738536946,47.13234799264851
representative,hcsmo_v6d,migration_energy_wh,12,1.331582984192049,1.1288275196474666,0.852354067813528,0.2606107043122167,2.8279408795589105
representative,hcsmo_v6d,migration_emissions_g,12,0.13478273919672618,0.10529154893002318,0.0899519378733985,0.035186870931475094,0.3100812772500177
representative,hcsmo_v6d,active_node_count,12,1.3333333333333333,1.0,0.8876253645985945,1.0,4.0
representative,hcsmo_v6d,wall_time_s,12,9.211271994833348,9.079284451000149,4.087277042749931,4.365373071000022,15.541870217999985
representative,hcsmo_v6d,actual_objective_calls,12,216.0,216.0,51.168171925346506,156.0,276.0
representative,jellyfish_rts_adapted,scheduler_controllable_emissions_g,12,13.868134810336537,2.028329889389491,29.519811569577538,0.7613192579565151,103.61853004404102
representative,jellyfish_rts_adapted,scheduler_controllable_energy_wh,12,442.703426670503,333.6821857195166,435.0595864561239,29.788984057359727,1058.5231940797496
representative,jellyfish_rts_adapted,gross_horizon_emissions_g,12,54.818301297914296,45.2961933835124,35.357583020997055,22.187322139836134,158.43174827290275
representative,jellyfish_rts_adapted,gross_horizon_energy_wh,12,681.6885286929529,579.0960414872137,444.99649788022504,243.06340740785723,1321.2248972827404
representative,jellyfish_rts_adapted,makespan_s,12,25913.30592785266,25813.074822291237,284.02174229346315,25522.13529691007,26297.42327941081
representative,jellyfish_rts_adapted,deadline_miss_ratio,12,0.0,0.0,0.0,0.0,0.0
representative,jellyfish_rts_adapted,total_tardiness_s,12,0.0,0.0,0.0,0.0,0.0
representative,jellyfish_rts_adapted,migration_volume_gib,12,21.533390686561788,17.94456620270261,14.567979680025958,4.343511738536946,49.674920404834964
representative,jellyfish_rts_adapted,migration_energy_wh,12,1.2920034411937074,1.0766739721621568,0.8740787808015573,0.2606107043122167,2.9804952242900975
representative,jellyfish_rts_adapted,migration_emissions_g,12,0.18341593468033676,0.10529154893002318,0.21154534532359523,0.035186870931475094,0.6373041145134952
representative,jellyfish_rts_adapted,active_node_count,12,3.5833333333333335,3.0,3.2039275140289165,1.0,13.0
representative,jellyfish_rts_adapted,wall_time_s,12,7.674232761083374,7.011223575000031,3.2705050115622907,3.7710601050000605,12.04836295799987
representative,jellyfish_rts_adapted,actual_objective_calls,12,216.0,216.0,51.168171925346506,156.0,276.0
representative,meo_adapted,scheduler_controllable_emissions_g,12,17.77859225162425,2.028329889389491,42.85632812009907,0.7613192579565151,151.158619586839
representative,meo_adapted,scheduler_controllable_energy_wh,12,456.04983149969695,354.32140332654825,430.84394677852447,29.788984057359727,1058.5231940797496
representative,meo_adapted,gross_horizon_emissions_g,12,58.728758739202,45.29619143717373,48.27933494383198,22.187322139836134,205.97183781570072
representative,meo_adapted,gross_horizon_energy_wh,12,695.0349335221467,593.3044792272244,441.0551441923885,243.06340740785723,1321.2248972827404
representative,meo_adapted,makespan_s,12,25905.275184796526,25812.713608209655,284.31661781648666,25522.13529691007,26297.42327941081
representative,meo_adapted,deadline_miss_ratio,12,0.0,0.0,0.0,0.0,0.0
representative,meo_adapted,total_tardiness_s,12,0.0,0.0,0.0,0.0,0.0
representative,meo_adapted,migration_volume_gib,12,19.662250853860662,17.94456620270261,10.750841552068279,4.343511738536946,40.48965392281188
representative,meo_adapted,migration_energy_wh,12,1.17973505123164,1.0766739721621568,0.6450504931240968,0.2606107043122167,2.429379235368713
representative,meo_adapted,migration_emissions_g,12,0.13006352202553753,0.10529154893002318,0.08758196437117516,0.035186870931475094,0.3155823781740982
representative,meo_adapted,active_node_count,12,4.333333333333333,3.0,3.725424523297698,1.0,13.0
representative,meo_adapted,wall_time_s,12,7.411106286166661,7.58782062399996,3.049983127497963,3.6279317839999976,11.52977936499974
representative,meo_adapted,actual_objective_calls,12,216.0,216.0,51.168171925346506,156.0,276.0
representative,nsga_ii,scheduler_controllable_emissions_g,12,10.938885726949522,2.0277603679163096,17.39746984463356,0.7613192579565151,48.20485112160999
