sensitivity_family,parameter,parameter_value,parameter_subvalue,scheduler_controllable_emissions_g,scheduler_controllable_energy_wh,gross_horizon_energy_wh,makespan_s,deadline_miss_ratio,wall_time_s
active_pool_size,pool_size,8,energy,0.8885404915248927,360.9438783542997,624.3254405757095,26294.935818896454,0.0,0.09277248600119489
active_pool_size,pool_size,8,hybrid,2.05008321566112,441.826512587515,689.785449717546,25995.57488874886,0.0,0.0947694775022682
active_pool_size,pool_size,8,speed,2.740634046079192,450.31774462102453,698.3533516411451,25995.618192064678,0.0,0.08920817550097121
carbon_shift_cap,maximum_shift_fraction,0.0,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,9.614240678001806
carbon_shift_cap,maximum_shift_fraction,0.25,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,8.428413342502608
carbon_shift_cap,maximum_shift_fraction,0.5,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,8.681470573999832
carbon_shift_cap,maximum_shift_fraction,1.0,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,9.079284451000149
controllable_energy_guard,controllable_energy_guard_pct,10.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
controllable_energy_guard,controllable_energy_guard_pct,15.0,archive_reselection,0.35581726260203084,347.71540410917703,607.2603831400094,25974.9395887641,0.0,0.0
controllable_energy_guard,controllable_energy_guard_pct,5.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
critical_tail_size,tail_size,1,,0.3454638129859049,334.3562958150616,597.7378580364716,26007.666550439026,0.0,8.714833819496562
critical_tail_size,tail_size,2,,0.3454638129859049,334.35937637118525,582.3949833913059,26058.41510675155,0.0,8.930168442999275
critical_tail_size,tail_size,4,,0.3454638129859049,334.3632819663239,582.3988889864445,25974.946134218655,0.0,9.227383940000436
critical_tail_size,tail_size,8,,0.3454638129859049,334.37391288070233,582.4095199008229,26067.32443454,0.0,7.6613053799992485
dvfs_policy,dvfs_policy,balanced_only,,0.31253336358253847,289.2020242808798,537.1769666978004,26169.971030856643,0.0,6.370785307499318
dvfs_policy,dvfs_policy,eco_balanced,,0.31253336358253847,289.18438344997713,537.1766100296867,26169.971030856643,0.0,7.793011125497287
dvfs_policy,dvfs_policy,full_5state,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,9.079284451000149
evaluation_budget,budget_factor,0.6,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,6.471645682999224
evaluation_budget,budget_factor,0.8,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,6.5636324115002935
evaluation_budget,budget_factor,1.0,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,9.079284451000149
evaluation_budget,budget_factor,1.2,,0.35581726260203084,345.3224253707046,604.0749680137804,25974.946134218655,0.0,10.261028271001123
gross_energy_guard,gross_energy_guard_pct,2.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
gross_energy_guard,gross_energy_guard_pct,5.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
gross_energy_guard,gross_energy_guard_pct,8.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
legacy_guard,legacy_guard_pct,2.0,archive_reselection,0.3454638129859049,334.3562958150616,597.7378580364716,25974.946134218655,0.0,0.0
legacy_guard,legacy_guard_pct,5.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
legacy_guard,legacy_guard_pct,8.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
makespan_guard,makespan_guard_pct,0.5,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
makespan_guard,makespan_guard_pct,1.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
makespan_guard,makespan_guard_pct,2.0,archive_reselection,0.35581726260203084,345.3224253707046,604.867404401537,25974.946134218655,0.0,0.0
