sensitivity_family,parameter,parameter_value,parameter_subvalue,track,scenario_id,base_scenario_id,dataset,family,node_count,task_count,scenario_seed,workload_seed,replication_index,replication_rule,budget,actual_objective_calls,wall_time_s,origin,total_facility_energy_wh,total_emissions_g,active_energy_wh,inactive_energy_wh,wake_energy_wh,active_node_count,legacy_finish_bounded_energy_wh,legacy_finish_bounded_emissions_g,finish_bounded_floor_energy_wh,finish_bounded_floor_emissions_g,fixed_horizon_end_s,fixed_horizon_duration_s,infrastructure_floor_energy_wh,infrastructure_floor_emissions_g,gross_horizon_energy_wh,gross_horizon_emissions_g,scheduler_controllable_energy_wh,scheduler_controllable_emissions_g,background_energy_share_pct,background_emissions_share_pct,makespan_s,deadline_miss_ratio,total_tardiness_s,migration_volume_gib,migration_energy_wh,migration_emissions_g
active_pool_size,pool_size,2,carbon,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07313810299820034,fixed_pool_carbon_k2,865.635890968126,51.639377408356474,616.0164391506714,240.5935780775414,8.209722222222222,3.0,865.635890968126,51.639377408356474,217.2963682853117,40.736994857648455,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,880.3493154832265,54.057297584287674,648.3395226828143,10.902382550708019,26.354287862774264,79.83180248012076,26837.75647821877,0.0,0.0,13.602525294866174,0.8161515176919704,0.09636453591077412
active_pool_size,pool_size,2,hybrid,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07550994700432057,fixed_pool_hybrid_k2,822.9020819592681,114.83493686191883,579.593161400946,239.3072577169235,3.1666666666666665,2.0,822.9020819592681,114.83493686191883,217.2963682853117,40.736994857648455,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,837.6155064743687,117.25285703785003,605.6057136739564,74.09794200427038,27.698841653131677,36.80500085353905,26837.75647821877,0.0,0.0,13.916602912211292,0.8349961747326774,0.12474769009802311
active_pool_size,pool_size,2,speed,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07862563600065187,fixed_pool_speed_k2,1021.7213711244872,169.48635738177154,705.6701539694945,275.23020416248863,39.9,1.0,1021.7213711244872,169.48635738177154,212.45015758026307,39.92756461160701,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1041.2810063446364,172.71370780374417,809.2712135442241,129.55879277016453,22.281189360677075,24.986386768221585,26239.212545936112,0.0,0.0,15.350216541720926,0.9210129925032554,0.16102394432057304
active_pool_size,pool_size,4,energy,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07651930599968182,fixed_pool_energy_k4,825.0160543015406,171.89206766947808,582.1174349460307,238.88057898339756,3.1388888888888884,2.0,825.0160543015406,171.89206766947808,217.29704291075905,40.73710753583662,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,839.7288041911938,174.3098751672211,607.7190113907816,131.15496013364145,27.629133553883317,24.757584727875987,26837.839799599664,0.0,0.0,14.652524720412876,0.8791514832247724,0.1659095685819372
active_pool_size,pool_size,4,carbon,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07920184999966295,fixed_pool_carbon_k4,821.7440966530932,40.863152039056914,567.9817824076804,242.30574605853658,10.633333333333331,1.0,821.7440966530932,40.863152039056914,214.60365421281392,40.287248788631985,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,839.1502352406915,43.73081828400458,607.1404424402792,0.5759032504249291,27.648183013839645,98.68307232056621,26505.185781739012,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,4,hybrid,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.09913579600106459,fixed_pool_hybrid_k4,1086.673152034031,40.721369053658364,756.4457998968585,287.79717283919257,41.60694444444444,2.0,1086.673152034031,40.721369053658364,212.4957075587123,39.93517252065334,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1106.187237275731,43.94111156658467,874.1774444753188,0.7861965330050253,20.97382658037131,98.2107950732796,26244.838315197034,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,4,speed,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.07637179100129288,fixed_pool_speed_k4,1035.8098060474013,40.68655891502246,718.0560851972014,276.33048599665716,40.599999999999994,1.0,1035.8098060474013,40.68655891502246,212.4494829548157,39.92745193341882,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1055.3701158929978,43.91402201518328,823.3603230925855,0.7591069816036367,21.983737203331554,98.2713790566913,26239.129224555218,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,6,energy,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.08035827300045639,fixed_pool_energy_k6,883.6648780668272,116.61819996154269,625.1406447593934,253.69851498148356,3.9722222222222214,3.0,883.6648780668272,116.61819996154269,217.2963682853117,40.736994857648455,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,898.3783025819278,119.03612013747389,666.3685097815155,75.88120510389423,25.825400294466053,36.2536303970092,26837.75647821877,0.0,0.0,14.224935062141464,0.8534961037284877,0.12164082836066106
active_pool_size,pool_size,6,carbon,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.11076267099997494,fixed_pool_carbon_k6,1091.822085243817,41.15717366941837,755.7271671879827,304.3383498689573,30.93333333333333,2.0,1091.822085243817,41.15717366941837,214.60365421281392,40.287248788631985,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1109.228223831415,44.024839914366034,877.218431031003,0.8699248807863853,20.916326128001053,98.0240135285477,26505.185781739012,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,6,hybrid,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.08153367500199238,fixed_pool_hybrid_k6,1038.8244033159074,40.69019723307429,720.897299834272,276.3024797392036,40.80138888888888,2.0,1038.8244033159074,40.69019723307429,212.4494829548157,39.92745193341882,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1058.384713161504,43.917660333235105,826.3749203610917,0.7627452996554638,21.921120922785743,98.26323785495863,26239.129224555218,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,6,speed,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.088872344000265,fixed_pool_speed_k6,1035.8098060474013,40.68655891502246,718.0560851972014,276.33048599665716,40.599999999999994,1.0,1035.8098060474013,40.68655891502246,212.4494829548157,39.92745193341882,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1055.3701158929978,43.91402201518328,823.3603230925855,0.7591069816036367,21.983737203331554,98.2713790566913,26239.129224555218,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,8,energy,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.10178731400083052,fixed_pool_energy_k8,935.4787229329328,72.19193099731741,653.493003857523,276.60083024109326,4.600694444444444,5.0,935.4787229329328,72.19193099731741,217.2963682853117,40.736994857648455,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,950.1921474480333,74.60985117324861,718.1823546476211,31.45493613966896,24.417144829446308,57.840773510419275,26837.75647821877,0.0,0.0,13.06990649788113,0.7841943898728677,0.09430941418298952
active_pool_size,pool_size,8,carbon,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.10963994199846638,fixed_pool_carbon_k8,1091.822085243817,41.15717366941837,755.7271671879827,304.3383498689573,30.93333333333333,2.0,1091.822085243817,41.15717366941837,214.60365421281392,40.287248788631985,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1109.228223831415,44.024839914366034,877.218431031003,0.8699248807863853,20.916326128001053,98.0240135285477,26505.185781739012,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,8,hybrid,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.08755959900008747,fixed_pool_hybrid_k8,1038.8244033159074,40.69019723307429,720.897299834272,276.3024797392036,40.80138888888888,2.0,1038.8244033159074,40.69019723307429,212.4494829548157,39.92745193341882,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1058.384713161504,43.917660333235105,826.3749203610917,0.7627452996554638,21.921120922785743,98.26323785495863,26239.129224555218,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
active_pool_size,pool_size,8,speed,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,1,0.08870924400252989,fixed_pool_speed_k8,1035.8098060474013,40.68655891502246,718.0560851972014,276.33048599665716,40.599999999999994,1.0,1035.8098060474013,40.68655891502246,212.4494829548157,39.92745193341882,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,1055.3701158929978,43.91402201518328,823.3603230925855,0.7591069816036367,21.983737203331554,98.2713790566913,26239.129224555218,0.0,0.0,13.720580892403982,0.8232348535442389,0.09692411944310333
makespan_guard,makespan_guard_pct,0.5,archive_reselection,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,0,0.0,v6c_anchor_critical_tail_fast_turbo_4,892.4951216046219,40.53113753403667,634.7883193955255,241.17523402221985,15.70833333333333,2.0,892.4951216046219,40.53113753403667,212.1154640988809,39.87166299207953,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,912.3894503061532,43.8143895755368,680.379657505741,0.6594745419571382,25.428811427243176,98.49484484812868,26197.87535185844,0.0,0.0,13.720580892403982,0.8232348535442389,0.0969241194431033
makespan_guard,makespan_guard_pct,1.0,archive_reselection,representative,rep_Google2011v2_trace_dynamic_n060_823,rep_Google2011v2_trace_dynamic_n060_823,Google2011v2,trace_dynamic,30,60,823,823,0,exact_frozen_v3a_representative_scenario,216,0,0.0,v6c_anchor_critical_tail_fast_turbo_4,892.4951216046219,40.53113753403667,634.7883193955255,241.17523402221985,15.70833333333333,2.0,892.4951216046219,40.53113753403667,212.1154640988809,39.87166299207953,350854.97646773304,28654.97646773304,232.0097928004123,43.15491503357963,912.3894503061532,43.8143895755368,680.379657505741,0.6594745419571382,25.428811427243176,98.49484484812868,26197.87535185844,0.0,0.0,13.720580892403982,0.8232348535442389,0.0969241194431033
